event_id,sample,m_gammagamma,n_jets,n_btags,ht,pt_gammagamma,m_jjj,is_signal,weight,sm_weight,partition,bdt_score,n_leptons,n_central_jets,category,significance_model_weight_36fb,observed_data_weight
ttH_41,ttH,125.2405912634238,7,1,551.4438834058749,105.09918708721924,492.2596149142765,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_42,ttH,127.05315969310416,5,1,516.6088132508152,131.75273460548763,259.30084108615085,1,1.0,1.0,val,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_43,ttH,122.63348297466844,11,1,296.07678222398994,111.52196346817922,397.38442015247256,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_44,ttH,120.86511579992025,5,2,491.0879960487212,110.99794738290544,324.8096170938116,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_45,ttH,123.97226616532662,7,2,394.0786478111048,84.09227144882678,336.57017341901246,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_46,ttH,124.78593928009089,7,2,396.4757677580626,96.6301585092751,382.3224320373421,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_47,ttH,126.22833340008684,5,1,575.7507710047305,149.34903140503852,380.0771168354897,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_48,ttH,126.15311392611152,6,2,531.1250154543536,77.30947764147089,286.2197032321861,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_49,ttH,123.70685423151497,8,2,391.8451996385605,171.22988210477166,481.1626154149838,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_50,ttH,124.11899088225294,5,2,658.203818296378,100.83072794848638,410.1892382829725,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_51,ttH,124.27715432114604,5,1,476.15066326159416,75.14248686943793,356.38646405345247,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_52,ttH,119.99448095667556,9,2,568.4642201555168,115.84949828891128,416.6002788127309,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_53,ttH,129.0866409793646,6,1,661.9612155437311,86.24142169171003,375.4626880542546,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_54,ttH,121.95141893366002,7,2,579.7736314578634,130.1887842764332,353.84865043814807,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_55,ttH,126.67138422413028,11,2,387.0293145342382,102.597693624187,387.54582116863367,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_56,ttH,127.3355641233196,6,2,525.4420843301214,116.30449458891331,482.7936741664479,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_57,ttH,120.58378689665224,9,1,536.0778424673429,92.82464001909494,465.8483980596005,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_58,ttH,126.78482163963042,7,2,509.5620445889393,115.28134349008316,499.786164418538,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_59,ttH,126.93184401591918,6,2,508.20548711527977,145.2931393737887,432.16275840375374,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_60,ttH,124.3049465324541,6,1,582.9138684585268,122.70965849936056,326.22677406579,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_61,ttH,126.73921184021133,7,2,635.5637858804951,119.63096969062173,395.5532263271636,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_62,ttH,125.55993725263964,5,1,387.4510952701624,107.50731797720944,308.8196457474635,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_63,ttH,122.3171096844006,10,1,688.6828112124236,95.25976304263033,365.8495144042064,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_64,ttH,122.97579124947968,9,1,334.51433281342304,99.80039636106288,294.4683963838444,1,1.0,1.0,val,0.96,0,5,ttH_had_BDT1,36.0,0.0
ttH_65,ttH,126.60887822022173,6,2,484.2786106635549,76.02668287524205,386.83714735602433,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_66,ttH,125.00139823511437,6,2,515.8255980953368,177.09780519071,311.43164363199827,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_67,ttH,127.77716453808056,6,2,234.0648642950627,57.774649158465365,337.77466499273,1,1.0,1.0,val,0.12,0,5,ttH_had_BDT4,36.0,0.0
ttH_68,ttH,122.77884830906834,4,1,675.2270443423622,78.86589689621411,341.7347880041691,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_69,ttH,125.19749155527468,6,2,486.9654854012792,107.0395601546526,420.2204406030309,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_70,ttH,128.2927944853599,6,2,399.2910635693739,109.78399066726354,299.91091388917573,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_71,ttH,126.8480540384138,7,1,481.50978635570107,137.4008420958876,226.4097850367313,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_72,ttH,121.49306116749868,10,2,445.50777650410913,109.23405306676176,263.18652858747,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_73,ttH,122.30362915578856,7,2,574.3264094022715,51.11221042071018,444.14909242476006,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_74,ttH,129.0111480912799,5,1,571.759157979305,148.61600335497633,525.6395708208911,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_75,ttH,122.99248421687328,7,2,551.0296389582323,89.55960741109483,415.88466903170337,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_76,ttH,122.13127006568232,7,2,558.1022009865985,102.85962420843155,414.3229437239172,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_77,ttH,126.21513372866272,5,1,348.0820017013823,105.39536256184178,373.2118182099109,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_78,ttH,128.95005470726156,8,2,495.2735347370991,60.41956332587783,381.9003824793059,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_79,ttH,127.1291373560534,10,1,511.9605668887069,112.88854657397758,416.6150149730489,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_80,ttH,125.54315767439074,6,1,372.32514241796906,57.84520232906621,440.0826674813876,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_81,ttH,122.91503025154572,5,1,627.7926829238165,126.03295072512664,422.6425764316173,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_82,ttH,122.30107285714897,5,1,558.5503460858579,84.48134649698883,512.7477952148464,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_83,ttH,129.5977962472385,10,2,463.7161439560341,69.87577699743797,338.5761947916697,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_84,ttH,124.93063022522644,8,1,523.421473253652,66.31833935313105,430.5927796947241,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_85,ttH,125.33290441642612,6,1,549.2451264008149,116.66130450420724,350.1703602861373,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_86,ttH,124.00806190734706,11,2,483.18851043747065,106.087690625539,278.74047080022143,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_87,ttH,128.09501040266014,6,2,679.5877673095522,94.69158317517852,336.1362204369237,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_88,ttH,122.24136154397094,6,2,426.9069960058081,99.50731311781745,495.0714618758467,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_89,ttH,130.05386485174725,10,1,446.913122707968,141.4647697311258,451.8967910071714,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_90,ttH,124.66576383936628,8,1,514.6713686433322,124.53258087628149,280.8485552280555,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_91,ttH,125.04928419685716,7,2,508.995614812679,118.23689529149618,414.92872985250864,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_92,ttH,124.10713277089894,5,1,519.4089992898307,85.59604396912448,410.2242157893426,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_93,ttH,125.73420453357612,4,2,447.4194612687043,121.96370821999216,486.4055200257732,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_94,ttH,121.5980128961225,8,1,459.3507123303738,107.31402141313596,354.8737095410617,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_95,ttH,122.4393912026582,8,2,587.2457328280145,98.63241950933508,419.46715594581536,1,1.0,1.0,val,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_96,ttH,124.51752788428736,4,1,535.2055396514297,115.16505431834472,397.6860092660104,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_97,ttH,125.53933871479414,9,1,476.99435644036174,79.7082309382219,544.0752346328652,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_98,ttH,124.91968409871131,5,2,356.9224897881952,86.4308104225277,206.08965386968347,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_99,ttH,121.83219435302856,7,2,576.0414656144297,99.89192382728297,307.3308248645966,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_100,ttH,128.0067966035343,4,2,587.7362290575671,92.5846785243821,345.4412601601761,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_101,ttH,122.99675998021016,7,1,471.8899707114045,141.98066309758008,473.9706946330215,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_102,ttH,125.11926073984034,9,2,435.3063222294426,112.0403088107437,574.600561934167,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_103,ttH,124.26095676635552,4,2,520.4549396090746,90.3895807541704,433.9332757121533,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_104,ttH,126.045670976071,11,1,442.6299996061421,132.73138306494002,391.1413256735443,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_105,ttH,126.86575816865724,7,1,587.3158548619149,96.8382422368802,542.4663370373314,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_106,ttH,121.73409543891604,9,2,442.7231575451474,109.71400382817836,376.6808016805208,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_107,ttH,121.69901757992449,8,1,494.9577148278513,61.15955572837283,492.8661429902816,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_108,ttH,124.06459759737622,6,1,534.6503881730716,37.14527431960044,420.3339113796962,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_109,ttH,124.48149911483956,6,1,623.3686921376036,90.35094846347852,566.1398386848673,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_110,ttH,125.7638709044631,6,1,543.0041647191069,121.8288863091094,404.155670864584,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_111,ttH,126.46528015443116,5,2,491.92834198914176,127.48983024107444,427.7190780718394,1,1.0,1.0,val,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_112,ttH,126.9960202197193,6,2,210.3744621806311,118.38321715187708,315.7267549461075,1,1.0,1.0,val,0.56,0,3,ttH_had_BDT4,36.0,0.0
ttH_113,ttH,123.7524620786084,10,2,691.4031353866786,105.92697970517146,435.9382747935797,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_114,ttH,122.84667898364468,6,1,566.8407960942366,98.07584960221024,426.3009928242784,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_115,ttH,125.64271443090054,11,1,542.1920754235284,94.80784527148391,401.2463238065174,1,1.0,1.0,val,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_116,ttH,122.8074498262096,7,2,355.99491174057056,105.0908137705606,343.99073014359936,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_117,ttH,127.17932973003292,8,1,653.3978120849567,143.361540687488,254.07441008856503,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_118,ttH,129.65723801684314,7,2,572.5151399381741,92.41942935997108,431.3667623760696,1,1.0,1.0,val,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_119,ttH,124.62220662443104,5,2,555.307327644048,105.39682453460436,511.360182907568,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_120,ttH,126.83663321200464,6,2,342.9499396376823,70.92401169058702,444.082984179403,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_121,ttH,128.6932530016609,5,1,522.2282717458284,103.75673507943722,365.64755670997977,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_122,ttH,125.24459500606456,8,1,554.3298029036388,78.44778203292408,471.5939501555553,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_123,ttH,124.41010064341594,6,2,624.7742072673734,119.01330642796296,433.1039277961199,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_124,ttH,124.6294246822446,4,2,487.0179300266574,143.78480810150563,265.1751248990448,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_125,ttH,125.62876698810967,6,2,499.7916202579816,109.08056046987956,357.26813202495225,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_126,ttH,121.75390821306851,4,2,556.3345462505024,66.97662151489945,343.096110019157,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_127,ttH,123.82687184087456,6,1,480.2464774303032,64.82190229416051,301.32255189759155,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_128,ttH,126.38999580155377,6,2,694.6542837514766,70.2792283408689,450.353086790943,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_129,ttH,123.1700818644346,9,1,508.1276842767028,136.3929309993755,411.3373530911924,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_130,ttH,129.6386590799634,5,1,539.3317839394372,67.88216985293194,328.8203118570745,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_131,ttH,123.59142458361762,8,1,476.1119252133402,102.45488075642696,392.08882774470857,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_132,ttH,126.83815296597554,7,1,470.97254558113485,68.90272250931108,505.0454812470972,1,1.0,1.0,test,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_133,ttH,125.101071631188,10,2,517.0497235040431,88.84861290121297,320.61493871711247,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_134,ttH,126.015515340623,7,2,505.3988418445793,145.92252497031092,497.5009481357853,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_135,ttH,124.57311425813958,5,1,649.0726136849952,81.5979200937718,375.8024250809497,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_136,ttH,124.22364636291756,10,2,517.0416222375487,96.14477557432582,479.14955506257047,1,1.0,1.0,test,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_137,ttH,123.98578421173478,7,2,382.8958145824146,83.61266655242551,431.3443204322037,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_138,ttH,122.04217686245174,3,2,518.3359919779156,99.54070452481014,446.3433199680871,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_139,ttH,125.23916073682832,7,1,402.6931059118445,58.84296571205931,270.9150881698607,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_140,ttH,127.94234065498722,9,2,479.0676322848134,97.34972022972715,473.7079682389197,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_141,ttH,127.82113601001032,7,2,621.4479133907347,102.65940092194036,537.7702884547975,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_142,ttH,124.54203427701952,5,1,509.00428376532864,75.92521800365058,503.90490598776415,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_143,ttH,123.0381651140794,6,1,367.2081928312727,135.57112463988992,457.51626485320537,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_144,ttH,126.99209537161164,6,2,424.3204911430539,80.69445308859571,474.227210246499,1,1.0,1.0,val,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_145,ttH,125.11402624979416,8,1,526.8592278863257,68.65572417936899,242.69147284991985,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_146,ttH,129.11241425988064,6,1,389.67916342783167,109.12378512009428,421.2718783851079,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_147,ttH,126.67512540671676,9,1,418.6354643940325,97.16884749893856,393.1285400225767,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_148,ttH,126.625378851288,9,2,557.791051379151,122.60024863313598,430.49267079062224,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_149,ttH,127.5795055081655,5,2,567.3181351269958,138.63947421405814,366.17504311315656,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_150,ttH,125.5213256663008,8,2,359.9492039725057,76.4530506075328,451.8624347075087,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_151,ttH,124.75810370278444,5,1,541.9532443907028,117.67170842217602,427.09764022957086,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_152,ttH,121.6023016003927,5,1,645.7195759956246,83.4442556232266,604.6559428534601,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_153,ttH,123.87150480268522,9,2,518.4551303197037,94.89446132425216,363.741756053818,1,1.0,1.0,val,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_154,ttH,126.39277489491344,7,1,595.5305208570511,114.4017874026005,290.7630382246256,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_155,ttH,125.37969567242492,7,1,557.6758066193072,62.399554206343424,427.8915475467376,1,1.0,1.0,test,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_156,ttH,122.17835100382425,4,1,382.55294732332834,109.69503142554343,388.1917930961065,1,1.0,1.0,test,0.99,0,4,ttH_had_BDT1,36.0,0.0
ttH_157,ttH,124.06792699626352,9,1,340.52969327332045,99.17455284848091,541.7801277335795,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_158,ttH,128.32251842909574,6,2,454.2903743413728,96.9953777056014,383.70609998584274,1,1.0,1.0,val,1.0,0,4,ttH_had_BDT1,36.0,0.0
ttH_159,ttH,123.24403482648688,8,2,417.311964596014,84.21765903364124,398.8784369393929,1,1.0,1.0,train,1.0,0,3,ttH_had_BDT1,36.0,0.0
ttH_160,ttH,125.20328857537902,6,1,386.89736085080574,53.12362429340372,357.6757858122964,1,1.0,1.0,train,1.0,0,5,ttH_had_BDT1,36.0,0.0
ttH_161,ttH,126.58852935924364,8,1,374.5710576830751,87.19728649352938,356.65320098650864,1,1.0,1.0,train,1.0,0,4,ttH_had_BDT1,36.0,0.0
