event_id,process,m_gammagamma,channel,n_leptons,n_jets,n_central_jets,n_bjets,h_pT,h_eta,m_jets,event_weight,sm_weight
72,data_GamGam,121.23228259367497,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,0.0
80,data_GamGam,155.95539456551518,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
81,ttH,126.67212210231905,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
85,data_GamGam,153.84616888277225,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,0.0
86,tH,125.0911843289401,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
89,ttH,125.68621816590351,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
92,ggZH,122.54548043815828,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
93,tH,128.3202739068965,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
97,WH,127.15024855043458,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
98,VBF,128.8542298869391,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
99,VBF,101.25166835749229,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,0.0
102,data_GamGam,124.3186109851446,hadronic,0,4,4,2,0.0,0.0,0.0,1.0,0.0
106,ggH,124.09798993974015,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
109,VBF,120.91442003451823,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
113,ZH,122.90198615485903,leptonic_bookkeeping,1,3,3,2,0.0,0.0,0.0,1.0,1.0
114,tH,123.06160077937247,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
117,tH,122.37631974367166,leptonic_bookkeeping,1,3,3,3,0.0,0.0,0.0,1.0,1.0
119,data_GamGam,122.01736475228805,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
120,VBF,121.77665631075952,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
121,ZH,125.28850004563478,leptonic_bookkeeping,1,3,3,0,0.0,0.0,0.0,1.0,1.0
122,WH,123.89854595182273,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
123,data_GamGam,112.7189494541343,leptonic_bookkeeping,1,4,4,2,0.0,0.0,0.0,1.0,0.0
124,VBF,130.36645329080505,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
125,tH,126.6263888137058,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
126,ggZH,124.74298503828838,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,1.0
130,tH,126.48419074401862,leptonic_bookkeeping,1,2,2,0,0.0,0.0,0.0,1.0,1.0
137,tH,124.71991429611552,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
138,ggZH,128.27788165468837,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
139,ggZH,130.25017267924332,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
140,ZH,127.18054901268852,leptonic_bookkeeping,1,3,3,1,0.0,0.0,0.0,1.0,1.0
142,ZH,122.17835100382425,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
143,tH,122.65105894646656,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
144,tH,124.54704221619694,leptonic_bookkeeping,1,2,2,0,0.0,0.0,0.0,1.0,1.0
152,ZH,123.11323390126013,hadronic,0,4,4,2,0.0,0.0,0.0,1.0,1.0
153,data_GamGam,107.05863928955951,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,0.0
156,ttH,122.75219706626982,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
158,WH,124.61535217385527,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
160,WH,127.82341875186292,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
161,WH,126.31122079650578,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
162,ggH,128.05544723904754,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
164,ttH,121.79606837620567,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
166,VBF,127.77111730095103,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,0.0
167,WH,123.59400507946032,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
169,WH,124.38623770262525,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
171,tH,128.80187122598915,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
173,ggH,124.3087809706066,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
174,ZH,123.12364524914459,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,1.0
177,ZH,125.24665814878108,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
178,ZH,128.32888050789643,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
183,ttH,126.90625009075217,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
184,WH,126.02617084019458,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
185,WH,126.6589496838635,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
186,ttH,124.61234772245439,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
189,WH,126.45736959443383,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
190,WH,124.02360600553551,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
191,ggZH,125.65348952920463,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
192,WH,125.60094871922166,leptonic_bookkeeping,1,3,3,3,0.0,0.0,0.0,1.0,1.0
196,ZH,125.51114730742474,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
197,ggH,126.32496212032903,leptonic_bookkeeping,1,4,4,1,0.0,0.0,0.0,1.0,1.0
198,ggH,123.2675461039855,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
201,WH,126.05195511683523,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,1.0
202,data_GamGam,148.49652637335626,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,0.0
203,WH,124.75659209116426,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
204,VBF,140.7729956280345,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,0.0
208,VBF,112.03361506437898,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,0.0
209,WH,126.33233213094333,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
213,WH,128.75234682645544,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
214,VBF,149.96982260729627,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
215,ggH,127.77451482210519,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
218,ggH,125.68979401649983,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
221,ggZH,119.36013813599315,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
222,VBF,135.82574621120318,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
223,ggH,126.16489624930966,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
224,ttH,125.93116803308206,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
226,ZH,124.79175169155096,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
227,ttH,126.55951099257764,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,1.0
230,tH,126.0727557052034,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
232,ZH,127.10219024139866,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
233,ZH,126.64151860796261,hadronic,0,4,4,1,0.0,0.0,0.0,1.0,1.0
234,WH,125.63147179775471,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
235,ggZH,125.6112584609163,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
236,ggZH,123.02433863815907,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
237,ttH,126.86646489663127,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,1.0
238,ZH,122.98289063184758,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
240,WH,125.47917776144834,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
241,tH,125.9683182378659,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,1.0
242,WH,126.50057382016189,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
245,tH,126.19846389422594,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
246,VBF,128.49705791582488,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
247,data_GamGam,158.52239662878526,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
250,tH,122.92185286721644,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
251,ttH,125.59124897749419,leptonic_bookkeeping,1,4,4,4,0.0,0.0,0.0,1.0,1.0
252,ggZH,121.96671490115841,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,1.0
254,ttH,126.7799751244342,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
255,tH,121.89373589326235,leptonic_bookkeeping,1,3,3,2,0.0,0.0,0.0,1.0,1.0
257,ggZH,124.39700527295825,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
258,VBF,120.60320213065864,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,0.0
261,tH,124.71106316940042,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
263,VBF,134.611442867962,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,0.0
264,ZH,125.86966244153369,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
265,ttH,124.35449794776314,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
266,ttH,123.93339053314426,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
267,tH,125.45139627562304,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
268,ggZH,129.66657864329957,leptonic_bookkeeping,1,2,2,0,0.0,0.0,0.0,1.0,1.0
274,ggH,126.14478062235135,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
276,tH,123.58474821035595,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
277,ZH,123.57565227164791,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
280,data_GamGam,133.85390900107217,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,0.0
281,VBF,117.26987793109635,hadronic,0,4,4,2,0.0,0.0,0.0,1.0,0.0
282,ZH,126.55205582768696,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
287,ggZH,126.29297907545154,hadronic,0,4,4,1,0.0,0.0,0.0,1.0,1.0
289,ggH,124.63230623855624,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
291,ggZH,126.46065401184666,hadronic,0,3,3,0,0.0,0.0,0.0,1.0,1.0
295,ttH,122.64311930627991,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
296,ggH,124.84511307854801,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
297,WH,122.60941247280151,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
298,ZH,123.75284781759596,leptonic_bookkeeping,1,3,3,2,0.0,0.0,0.0,1.0,1.0
299,ggZH,122.98267537123309,leptonic_bookkeeping,1,2,2,0,0.0,0.0,0.0,1.0,1.0
300,VBF,126.46903313383794,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
301,WH,123.81498086957414,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
305,data_GamGam,139.17837531447637,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
312,ggZH,127.75299290003908,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
313,ggH,125.6262642800263,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
314,VBF,118.38492696106218,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,0.0
315,data_GamGam,124.01877017037964,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,0.0
316,ggZH,123.05324232394594,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
317,ggH,127.01426667294632,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
318,ttH,123.01144657662209,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
320,tH,124.14106971299768,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
322,ZH,126.76609225540206,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
324,tH,125.12027395593658,leptonic_bookkeeping,1,4,4,4,0.0,0.0,0.0,1.0,1.0
325,WH,125.69517820512554,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
327,VBF,100.01362229309534,leptonic_bookkeeping,1,5,5,3,0.0,0.0,0.0,1.0,0.0
329,ttH,125.04212039672872,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
330,ggH,125.23119599412745,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
332,ZH,124.8153172740163,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
334,ggZH,125.95588775466781,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
336,tH,126.43870289858167,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
340,ZH,124.25628423544266,hadronic,0,2,2,0,0.0,0.0,0.0,1.0,1.0
341,data_GamGam,135.8457545544052,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,0.0
343,ttH,123.86686561094206,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
344,VBF,157.42808995238778,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,0.0
345,ZH,125.11010924397392,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
347,tH,123.64777852948774,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,1.0
348,ggZH,127.06614996919703,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,1.0
350,ggH,126.53089847686455,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
351,ttH,126.02250655707915,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
352,ttH,127.95032269481338,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
355,VBF,130.9183112796626,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
358,ZH,127.27911107205094,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
360,VBF,145.37153404640682,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
362,tH,124.22527607089438,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
364,ZH,123.29084763926335,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
365,VBF,119.75383692048368,hadronic,0,2,2,0,0.0,0.0,0.0,1.0,0.0
366,ZH,121.72058176225943,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
368,ggH,125.2357173044951,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
369,WH,126.4200065180741,hadronic,0,4,4,4,0.0,0.0,0.0,1.0,1.0
373,ggZH,124.0607906870363,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
374,ZH,126.4421855929722,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
375,VBF,126.68276661150014,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
376,ggZH,124.34376933366292,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
377,ggH,123.82946639822092,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
378,ttH,122.51929149569806,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
380,data_GamGam,127.83912504642285,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
381,tH,124.36529901551494,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
382,tH,125.8511885069256,leptonic_bookkeeping,1,3,3,3,0.0,0.0,0.0,1.0,1.0
383,data_GamGam,116.74782824645618,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,0.0
384,ggZH,127.21608571676647,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
385,ZH,124.66704522610395,hadronic,0,2,2,0,0.0,0.0,0.0,1.0,1.0
386,ggZH,124.0604066107477,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
388,ggH,125.98183069785331,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
391,VBF,100.13940436791582,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,0.0
398,tH,128.46170309173993,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
399,ggZH,123.33009926342464,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
400,ggH,125.000443032794,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
403,WH,123.97525151864662,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
408,ttH,125.93648659614307,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,1.0
415,WH,127.033640986893,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,1.0
417,data_GamGam,142.81961698672922,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,0.0
418,ggH,125.16050197942354,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
421,ZH,125.09191879223754,hadronic,0,2,2,0,0.0,0.0,0.0,1.0,1.0
422,data_GamGam,114.06220544067253,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,0.0
425,tH,126.03812444720985,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
427,ggH,123.93151945607414,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
428,data_GamGam,138.56839546517043,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,0.0
429,WH,125.30182192725015,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
432,VBF,143.7526569100512,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
437,ttH,122.9831025349053,hadronic,0,3,3,1,0.0,0.0,0.0,1.0,1.0
438,WH,120.82820424453332,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
439,tH,127.31952992390354,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
441,VBF,128.1882592869209,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
442,VBF,153.39018364529863,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
443,data_GamGam,152.9464714808549,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,0.0
445,ggH,128.08739552198483,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
446,ttH,125.17077722026991,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
447,data_GamGam,149.43378289747986,hadronic,0,4,4,3,0.0,0.0,0.0,1.0,0.0
449,ggZH,124.86073309339979,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
450,ttH,124.32112069640438,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
452,tH,122.98033984780218,hadronic,0,0,0,0,0.0,0.0,0.0,1.0,1.0
455,ggZH,126.24015999689267,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
456,ggZH,123.31134310242099,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,1.0
459,ggH,121.74599015826651,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
461,VBF,144.45299240331912,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
462,data_GamGam,142.53400037509493,hadronic,0,1,1,0,0.0,0.0,0.0,1.0,0.0
463,WH,124.61258924039008,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
464,WH,126.0805758880714,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
465,ggH,124.15857753881626,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
466,data_GamGam,109.41503632223363,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
467,data_GamGam,115.58766497026963,leptonic_bookkeeping,1,2,2,0,0.0,0.0,0.0,1.0,0.0
469,VBF,103.59550931926489,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,0.0
471,WH,122.40072466027517,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
472,tH,123.0368640108872,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
475,ZH,123.60476709878189,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
479,WH,128.48052886742585,leptonic_bookkeeping,1,3,3,1,0.0,0.0,0.0,1.0,1.0
480,data_GamGam,109.44229500099462,leptonic_bookkeeping,1,3,3,1,0.0,0.0,0.0,1.0,0.0
481,ggZH,123.5777783708939,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
482,ZH,122.88872102040281,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
483,tH,124.29262848086599,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
487,ttH,125.22678878393337,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,1.0
489,ttH,126.06333756740774,leptonic_bookkeeping,1,1,1,1,0.0,0.0,0.0,1.0,1.0
490,data_GamGam,134.29766160166992,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
491,VBF,151.87248049492501,leptonic_bookkeeping,1,4,4,4,0.0,0.0,0.0,1.0,0.0
492,ggZH,123.61928331839303,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,1.0
493,ggH,124.83095538196575,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
494,data_GamGam,151.50821515589578,leptonic_bookkeeping,1,1,1,0,0.0,0.0,0.0,1.0,0.0
503,VBF,109.08745734402487,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
507,WH,127.20643514410732,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
508,ttH,127.8838848039052,leptonic_bookkeeping,1,4,4,4,0.0,0.0,0.0,1.0,1.0
509,data_GamGam,110.54291475020955,hadronic,0,1,1,1,0.0,0.0,0.0,1.0,0.0
510,ZH,127.16470774632462,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
512,tH,122.04244575230743,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
513,ggZH,128.34453180819506,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
514,ggZH,125.34293226670962,hadronic,0,5,5,3,0.0,0.0,0.0,1.0,1.0
515,data_GamGam,143.71690940756662,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
518,tH,126.9514267553385,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,1.0
525,VBF,154.07065739304133,hadronic,0,3,3,3,0.0,0.0,0.0,1.0,0.0
526,data_GamGam,104.33376089634866,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
527,WH,127.18835909504296,hadronic,0,2,2,2,0.0,0.0,0.0,1.0,1.0
532,data_GamGam,154.18303918615092,hadronic,0,3,3,2,0.0,0.0,0.0,1.0,0.0
535,VBF,113.78838048535991,hadronic,0,2,2,0,0.0,0.0,0.0,1.0,0.0
536,ttH,124.54716653730948,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
538,ggZH,124.479795100347,leptonic_bookkeeping,1,3,3,2,0.0,0.0,0.0,1.0,1.0
539,WH,122.398314052754,hadronic,0,2,2,1,0.0,0.0,0.0,1.0,1.0
540,ggZH,121.24014445063273,leptonic_bookkeeping,1,0,0,0,0.0,0.0,0.0,1.0,1.0
543,ggZH,123.95897356245757,leptonic_bookkeeping,1,3,3,2,0.0,0.0,0.0,1.0,1.0
544,ZH,127.08769088434534,leptonic_bookkeeping,1,2,2,2,0.0,0.0,0.0,1.0,1.0
545,data_GamGam,110.1300163991542,leptonic_bookkeeping,1,2,2,1,0.0,0.0,0.0,1.0,0.0
